Feature,Number of datasets,Median auROC,Median log FC,Partition
STK17B,4,0.7099022731595921,0.7061297525745152,4
CYTIP,7,0.7368817633930816,0.705758761365794,4
HES4,4,0.7253028876354136,0.7050993600189147,4
LILRA1,6,0.7438149844124109,0.7032446489378104,4
HCK,6,0.6831970752638812,0.6979526094495194,4
CARD16,4,0.7190961761314776,0.696807150534728,4
FGR,4,0.7438055453584995,0.6886229360208769,4
RNF144B,4,0.6976485520635742,0.6834303480622613,4
ARHGDIB,5,0.7854202826679891,0.6824537809640556,4
LYN,8,0.6988878066006807,0.6682904728666701,4
SMAP2,6,0.6790784305677304,0.6614910233891671,4
PRELID1,8,0.7468486322858557,0.6583912517722499,4
C19orf38,4,0.720355242031851,0.63599040458253,4
ADGRE2,6,0.7116407863345187,0.6313580758257953,4
CDKN1C,6,0.6948412017746616,0.6303038122594917,4
UQCRB,4,0.7056738202499883,0.551840827149706,4
FABP4,8,0.8507482284216425,2.37501056672288,5
C1QB,6,0.9113129378310452,2.2962907377893824,5
LGALS3,4,0.8688885370734099,1.7734272695914834,5
C1QC,3,0.8696676333487866,1.7184507074139606,5
FBP1,6,0.8254864684369478,1.5020022737078587,5
MARCO,3,0.8424133629553854,1.4772504224567458,5
CD52,5,0.7974265002876044,1.402652284932826,5
TXNIP,3,0.7674901617839965,1.3950219001814514,5
MCEMP1,5,0.8527707738464007,1.3735367299307144,5
ALOX5AP,5,0.8115619469161844,1.3539109758241845,5
ALDH2,8,0.8454186084655353,1.3034869656738302,5
NUPR1,3,0.8005244369196898,1.2708871429621416,5
UBB,5,0.8034652998905362,1.2650859590556567,5
SERPINA1,9,0.8437144731088763,1.2527304425674026,5
CTSC,3,0.7800151825575554,1.2473835863927991,5
GCHFR,5,0.7942248939854183,1.2403804202792046,5
LTA4H,7,0.7866208755562468,1.2173119952394782,5
SERPING1,8,0.817344314303974,1.2094494844134818,5
CD9,3,0.7398431214802896,1.1889370419212235,5
VSIG4,4,0.8147973431517582,1.1631490495462917,5
LPL,5,0.7898945487445127,1.1406129356774577,5
MT-ND2,3,0.7532680326983326,1.1113070550013644,5
MSR1,6,0.7794466285944128,1.063023288172241,5
LY6E,5,0.8292386313948404,1.0525750577887532,5
INHBA,3,0.7797237101005684,1.0499685526962854,5
MGST3,6,0.7982033770993007,1.0433031930330774,5
RBP4,4,0.8115014290565348,1.0176677776095095,5
TSPO,4,0.7443627008836174,0.9612385973966991,5
ALOX5,4,0.7568148463178862,0.9436001415489526,5
TREM1,7,0.8302292222997069,0.9365386796108486,5
NOP10,3,0.7846373524267599,0.8720524896773237,5
GLRX,7,0.7392239627922448,0.8662867834062666,5
CES1,4,0.7625671943376171,0.8366857984890643,5
LRPAP1,3,0.8055607526973165,0.8357321798090961,5
LDHB,3,0.8244298486671945,0.8332653749138564,5
S100A13,5,0.7998088657341808,0.8288178958014644,5
