Gene,CGP
CHORDC1,15
CITED2,15
DDIT3,15
DNAJA4,15
DNAJB1,15
DNAJB4,15
DUSP10,15
EGR1,15
EGR2,15
FAM46A,15
FAM71A,15
FOS,15
FOSB,15
HSPA1A,15
HSPA1B,15
HSPA1L,15
HSPA2,15
HSPA6,15
HSPH1,15
IER2,15
IER5,15
JUN,15
KCNQ1OT1,15
KLF2,15
KLF4,15
KLF6,15
KMT2E-AS1,15
LINC00309,15
LINC00936,15
LSMEM1,15
MCF2L2,15
MYLIP,15
NR4A1,15
NR4A2,15
PHLDA1,15
PLK2,15
POLG2,15
PPP1R15A,15
RCAN1,15
RHOB,15
RND3,15
SERPINH1,15
SERTAD1,15
SGK1,15
SLC5A3,15
SNHG12,15
TCOF1,15
TNFSF9,15
TSPYL2,15
ZC3H12A,15
ZFAND2A,15
AK4,16
ALDH1A2,16
ARL4D,16
ASPHD1,16
CD109,16
CHI3L1,16
CHIT1,16
COL22A1,16
CSF1,16
CYP27B1,16
DCSTAMP,16
DEXI,16
DNASE2B,16
DOCK3,16
EMILIN1,16
EMP1,16
FAIM,16
FAM20C,16
FCMR,16
FLRT2,16
GEM,16
GPC4,16
HMG20B,16
HRK,16
HSD11B1,16
IL1RN,16
KCNN4,16
KCP,16
KIF17,16
LAT,16
LINC00520,16
LINC01010,16
LINC01050,16
LPL,16
LY9,16
MATK,16
MCOLN3,16
METTL7B,16
MFSD12,16
MMP7,16
MMP9,16
MRAS,16
MREG,16
MSANTD3,16
MSC-AS1,16
MUCL1,16
NRIP3,16
PALLD,16
PBX4,16
PDLIM4,16
RAI14,16
SCIN,16
SDC2,16
SERPINE1,16
SIGLEC15,16
SLAMF7,16
SLC12A8,16
SLC1A4,16
SLC28A3,16
SMOX,16
SPINK1,16
SPOCD1,16
SPP1,16
SPSB1,16
TIMP3,16
TM4SF19,16
TM4SF19-TCTEX1D2,16
TNFSF14,16
UBTD1,16
UCHL1,16
USP2,16
ZMIZ1-AS1,16
ZNF385D,16
ADAM12,17
ANKRD33B,17
ARAP2,17
AUTS2,17
BCL2L14,17
BIRC3,17
C10orf10,17
C17orf96,17
CCDC28B,17
CCL17,17
CCL19,17
CCL22,17
CCR6,17
CCR7,17
CD200,17
CD274,17
CLIC2,17
CST7,17
DAPP1,17
DSG2,17
DUSP4,17
DUSP5,17
EBI3,17
EDARADD,17
FSCN1,17
FSTL3,17
GCSAM,17
GPR157,17
H2AFY2,17
HAPLN3,17
HOMER2,17
IDO1,17
IDO2,17
IL15,17
IL32,17
IL4I1,17
IL7R,17
IZUMO4,17
KIF2A,17
LAD1,17
LAMP3,17
LIMCH1,17
LY75,17
LYPD3,17
MAP3K14,17
MARCKSL1,17
MCOLN2,17
MGLL,17
MIR155HG,17
MMP25,17
MREG,17
MYH11,17
NRP2,17
NUAK2,17
NUB1,17
P2RY10,17
PDCD1LG2,17
POGLUT1,17
PPP1R16B,17
PTGIR,17
RAB30,17
RAMP1,17
RASSF4,17
RFTN1,17
S1PR1,17
SLC22A23,17
SLCO5A1,17
SOCS2,17
